iso_code,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,gdp_per_capita
PER,South America,Peru,2020-04-07,89.592,11.919,12.829,1.911,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-08,17.99,1.371,1.285,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-08,40.367,5.385,1.061,0.079,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-08,252.224,39.846,13.716,2.891,17643060,66.939,10581.936
PER,South America,Peru,2020-04-08,131.688,42.097,14.285,1.456,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-09,22.616,4.626,1.542,0.257,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-09,43.689,3.321,1.356,0.295,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-09,281.414,29.19,15.417,1.7,17643060,66.939,10581.936
PER,South America,Peru,2020-04-09,159.409,27.721,17.257,2.972,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-10,22.959,0.343,1.628,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-10,48.602,4.913,1.572,0.216,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-10,405.882,124.468,16.834,1.417,17643060,66.939,10581.936
PER,South America,Peru,2020-04-10,178.85,19.441,19.714,2.457,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-11,23.559,0.6,1.713,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-11,53.24,4.638,1.965,0.393,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-11,411.323,5.441,17.854,1.02,17643060,66.939,10581.936
PER,South America,Peru,2020-04-11,207.692,28.843,22.838,3.124,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-12,25.7,2.142,2.056,0.343,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-12,54.557,1.317,2.142,0.177,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-12,423.169,11.846,18.874,1.02,17643060,66.939,10581.936
PER,South America,Peru,2020-04-12,228.043,20.351,25.658,2.821,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-13,28.27,2.57,2.313,0.257,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-13,56.05,1.494,2.201,0.059,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-13,426.74,3.571,20.121,1.247,17643060,66.939,10581.936
PER,South America,Peru,2020-04-13,296.738,68.695,28.873,3.215,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-14,30.326,2.056,2.399,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-14,58.546,2.496,2.496,0.295,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-14,430.934,4.194,20.915,0.794,17643060,66.939,10581.936
PER,South America,Peru,2020-04-14,312.479,15.741,32.179,3.306,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-15,34.01,3.684,2.399,0,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-15,61.022,2.476,2.575,0.079,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-15,445.388,14.453,21.992,1.077,17643060,66.939,10581.936
PER,South America,Peru,2020-04-15,348.024,35.545,36.395,4.216,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-16,37.779,3.769,2.484,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-16,63.538,2.516,2.83,0.255,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-16,466.189,20.801,22.842,0.85,17643060,66.939,10581.936
PER,South America,Peru,2020-04-16,378.838,30.814,40.428,4.034,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-17,39.835,2.056,2.656,0.171,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-17,67.587,4.049,3.007,0.177,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-17,478.942,12.753,23.862,1.02,17643060,66.939,10581.936
PER,South America,Peru,2020-04-17,409.107,30.268,45.19,4.762,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-18,42.234,2.399,2.656,0,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-18,71.163,3.577,3.262,0.255,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-18,511.363,32.421,25.846,1.984,17643060,66.939,10581.936
PER,South America,Peru,2020-04-18,437.343,28.236,49.375,4.185,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-19,44.547,2.313,2.741,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-19,74.524,3.361,3.518,0.255,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-19,536.642,25.279,26.866,1.02,17643060,66.939,10581.936
PER,South America,Peru,2020-04-19,473.98,36.637,54.167,4.792,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-20,48.317,3.769,2.827,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-20,78.16,3.636,3.714,0.197,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-20,574.05,37.408,28.737,1.87,17643060,66.939,10581.936
PER,South America,Peru,2020-04-20,495.119,21.139,60.355,6.187,32971846,25.129,12236.706
